,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
0,No title found,No MRP found,No discounted price found,No rating found,No rating count found,https://m.media-amazon.com/images/G/01/Amazon_Music_Merch/2024_Campaigns/Sparkles/030824_USEN_ArtistMerch_Sparkle_D_LukeBryan_2000x200.jpg
1,No title found,No MRP found,No discounted price found,No rating found,No rating count found,No image found
2,"Amazon Essentials Women's Classic-Fit Short-Sleeve V-Neck T-Shirt, Multipacks",No MRP found,$19.00,4.4 out of 5 stars,"49,416",https://m.media-amazon.com/images/I/61VXOrqsTyS._AC_UL320_.jpg
3,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",No MRP found,$21.97,4.6 out of 5 stars,"295,214",https://m.media-amazon.com/images/I/51wDsZxtTLL._AC_UL320_.jpg
4,"Hanes Men's Pocket Undershirt Pack, Cotton Crew Neck T-Shirt, Moisture Wicking Tee, Assorted 6-Pack",No MRP found,$21.98,4.4 out of 5 stars,"26,094",https://m.media-amazon.com/images/I/61NxWlAdrpL._AC_UL320_.jpg
5,Fruit of the Loom Men's Eversoft Cotton Stay Tucked Crew T-Shirt,No MRP found,$21.48,4.6 out of 5 stars,"126,655",https://m.media-amazon.com/images/I/71GX5QGOKsL._AC_UL320_.jpg
6,"Hanes Men's T-Shirt, Beefy-T Heavyweight Cotton Crewneck Tee, 1 or 2 Pack, Available in Tall Sizes",No MRP found,No discounted price found,4.5 out of 5 stars,"64,871",https://m.media-amazon.com/images/I/71zRMNf2uvL._AC_UL320_.jpg
7,"Hanes Mens Essentials T-Shirt Pack, Crewneck Cotton T-Shirts For Men, 4 Or 6 Pack Available",$26.00,$26.00,4.4 out of 5 stars,"122,165",https://m.media-amazon.com/images/I/612OCczgZHL._AC_UL320_.jpg
8,"Gildan Unisex-Adult Ultra Cotton T-Shirt, Style G2000, Multipack",$14.25,$14.25,4.5 out of 5 stars,"97,830",https://m.media-amazon.com/images/I/614rbIVRUJL._AC_UL320_.jpg
9,"Gildan Unisex-Adult Heavy Cotton T-Shirt, Style G5000, Multipack",$39.99,$39.99,4.5 out of 5 stars,"88,412",https://m.media-amazon.com/images/I/61lDolpjTRL._AC_UL320_.jpg
10,"Russell Athletic Men's Dri-Power Cotton Blend Short Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-4x",$10.99,$10.99,4.5 out of 5 stars,"34,340",https://m.media-amazon.com/images/I/71F4P1t80EL._AC_UL320_.jpg
11,Fruit of the Loom Men's Eversoft Cotton Stay Tucked V-Neck T-Shirt,$18.49,$18.49,4.6 out of 5 stars,"47,023",https://m.media-amazon.com/images/I/51sc3-LB+hL._AC_UL320_.jpg
